PeriodEnd,PeriodStart,Period,AirTemp,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2016-12-31T02:00:00Z,2016-12-31T01:00:00Z,PT60M,24.2,0.0,21.5,0,0,0,0,29.1,84.5,1006.8,232,1.8,150
2016-12-31T03:00:00Z,2016-12-31T02:00:00Z,PT60M,23.4,0.0,21.3,0,0,0,0,29.1,87.9,1006.3,253,1.5,138
2016-12-31T04:00:00Z,2016-12-31T03:00:00Z,PT60M,22.8,0.0,21.1,0,0,0,0,29.2,90.2,1006.2,272,1.4,124
2016-12-31T05:00:00Z,2016-12-31T04:00:00Z,PT60M,22.4,0.0,20.9,0,0,0,0,29.3,91.2,1006.5,287,1.2,111
2016-12-31T06:00:00Z,2016-12-31T05:00:00Z,PT60M,22.1,0.0,20.8,0,0,0,0,29.4,92.1,1006.8,306,1.1,97
2016-12-31T07:00:00Z,2016-12-31T06:00:00Z,PT60M,22.6,8.8,20.8,34,0,0,34,29.5,89.3,1007.3,319,1.0,83
2016-12-31T08:00:00Z,2016-12-31T07:00:00Z,PT60M,24.0,16.6,21.0,139,0,0,139,29.5,83.2,1008.0,326,0.9,70
2016-12-31T09:00:00Z,2016-12-31T08:00:00Z,PT60M,25.4,5.1,21.2,287,66,39,326,29.6,77.6,1008.7,337,0.8,57
2016-12-31T10:00:00Z,2016-12-31T09:00:00Z,PT60M,26.9,0.0,21.0,387,150,106,492,29.3,70.4,1008.7,352,0.7,45
2016-12-31T11:00:00Z,2016-12-31T10:00:00Z,PT60M,28.4,0.0,20.5,452,203,165,617,28.6,62.3,1008.1,12,0.7,36
2016-12-31T12:00:00Z,2016-12-31T11:00:00Z,PT60M,29.9,0.0,20.0,481,225,194,675,28.0,55.2,1007.5,29,0.8,30
2016-12-31T13:00:00Z,2016-12-31T12:00:00Z,PT60M,30.8,0.0,19.3,492,191,163,655,27.7,50.5,1006.7,41,0.6,32
2016-12-31T14:00:00Z,2016-12-31T13:00:00Z,PT60M,31.0,0.0,18.5,448,160,125,573,27.6,47.6,1005.9,93,0.2,39
2016-12-31T15:00:00Z,2016-12-31T14:00:00Z,PT60M,31.1,0.0,17.8,361,108,71,432,27.6,44.9,1005.1,177,0.5,49
2016-12-31T16:00:00Z,2016-12-31T15:00:00Z,PT60M,30.6,0.0,18.0,240,40,20,260,27.6,46.9,1004.8,191,1.0,62
2016-12-31T17:00:00Z,2016-12-31T16:00:00Z,PT60M,29.3,0.0,19.1,105,0,0,105,27.7,54.1,1004.9,197,1.5,75
2016-12-31T18:00:00Z,2016-12-31T17:00:00Z,PT60M,28.0,0.0,20.2,14,0,0,14,27.7,62.3,1005.1,199,2.0,88
2016-12-31T19:00:00Z,2016-12-31T18:00:00Z,PT60M,27.0,0.0,20.8,0,0,0,0,27.7,68.8,1005.6,201,2.2,102
2016-12-31T20:00:00Z,2016-12-31T19:00:00Z,PT60M,26.3,0.0,21.0,0,0,0,0,27.7,72.8,1006.3,202,2.2,116
2016-12-31T21:00:00Z,2016-12-31T20:00:00Z,PT60M,25.5,0.0,21.2,0,0,0,0,27.7,76.9,1007.1,203,2.3,129
2016-12-31T22:00:00Z,2016-12-31T21:00:00Z,PT60M,25.3,0.0,21.6,0,0,0,0,28.0,80.0,1007.4,205,2.3,143
2016-12-31T23:00:00Z,2016-12-31T22:00:00Z,PT60M,25.5,0.0,22.2,0,0,0,0,28.7,81.8,1007.3,207,2.4,155
2017-01-01T00:00:00Z,2016-12-31T23:00:00Z,PT60M,25.8,0.0,22.8,0,0,0,0,29.4,83.7,1007.1,209,2.6,162
2017-01-01T01:00:00Z,2017-01-01T00:00:00Z,PT60M,25.5,0.0,22.9,0,0,0,0,29.8,85.6,1006.9,214,2.5,160
2017-01-01T02:00:00Z,2017-01-01T01:00:00Z,PT60M,24.6,0.0,22.4,0,0,0,0,29.9,87.7,1006.5,221,2.3,150
2017-01-01T03:00:00Z,2017-01-01T02:00:00Z,PT60M,23.8,0.0,22.0,0,0,0,0,30.0,89.9,1006.1,230,2.1,138
2017-01-01T04:00:00Z,2017-01-01T03:00:00Z,PT60M,23.2,0.0,21.7,0,0,0,0,30.1,91.4,1006.0,240,1.8,124
2017-01-01T05:00:00Z,2017-01-01T04:00:00Z,PT60M,22.8,0.0,21.5,0,0,0,0,30.2,92.2,1006.2,253,1.4,111
2017-01-01T06:00:00Z,2017-01-01T05:00:00Z,PT60M,22.4,0.0,21.2,0,0,0,0,30.3,92.9,1006.5,276,1.1,97
2017-01-01T07:00:00Z,2017-01-01T06:00:00Z,PT60M,22.9,9.3,21.2,34,0,0,34,30.5,90.2,1006.9,295,1.0,83
2017-01-01T08:00:00Z,2017-01-01T07:00:00Z,PT60M,24.2,17.6,21.4,136,0,0,136,30.6,84.5,1007.6,304,1.0,70
2017-01-01T09:00:00Z,2017-01-01T08:00:00Z,PT60M,25.5,8.0,21.6,276,68,41,317,30.7,79.2,1008.3,312,1.0,57
2017-01-01T10:00:00Z,2017-01-01T09:00:00Z,PT60M,26.9,0.0,21.6,378,189,134,512,30.6,73.0,1008.3,324,0.9,45
2017-01-01T11:00:00Z,2017-01-01T10:00:00Z,PT60M,28.3,0.0,21.5,437,248,202,638,30.3,66.3,1007.7,340,0.9,36
2017-01-01T12:00:00Z,2017-01-01T11:00:00Z,PT60M,29.8,0.0,21.3,465,265,229,694,30.1,60.2,1007.1,357,0.9,30
2017-01-01T13:00:00Z,2017-01-01T12:00:00Z,PT60M,30.6,0.0,20.7,478,203,173,651,29.9,55.5,1006.3,1,0.6,32
2017-01-01T14:00:00Z,2017-01-01T13:00:00Z,PT60M,30.7,0.0,19.7,437,169,132,568,29.8,51.9,1005.3,321,0.2,39
